time,concentration_of_chlorophyll_in_water,chl
2002-11-18,,6.189547061920166
2002-11-19,,6.189541816711426
2002-11-20,,5.843913555145264
2002-11-21,,9.20877742767334
2002-11-22,,8.935413360595703
2002-11-23,,8.738466262817383
2002-11-24,,5.5087623596191415
2002-11-25,,5.503935813903809
2002-11-26,,4.005711078643799
2002-11-27,,5.935969829559326
2002-11-28,,5.607033729553223
2002-11-29,,2.687321186065674
2002-11-30,,3.8068339824676514
2002-12-01,,3.813456535339356
2002-12-02,,4.125235080718993
2002-12-03,,6.03914737701416
2002-12-04,,5.168159484863281
2002-12-05,,3.064158201217652
2002-12-06,,2.996933698654175
2002-12-07,,3.007715940475464
2002-12-08,,3.0112302303314213
2002-12-09,,3.3330416679382324
2002-12-10,,1.8149282932281492
2002-12-11,,1.999010801315308
2002-12-12,,4.532204627990723
2002-12-13,,5.98016881942749
2002-12-14,,2.2332983016967773
2002-12-15,,2.197948932647705
2002-12-16,,1.735211968421936
2002-12-17,5.38,1.7418650388717651
2002-12-18,,2.332099199295044
2002-12-19,,2.4360582828521733
2002-12-20,,2.558093547821045
2002-12-21,,2.6006522178649902
2002-12-22,,2.4737708568573
2002-12-23,,2.3368215560913086
2002-12-24,,5.784241676330566
2002-12-25,,5.150191307067871
2002-12-26,,4.9059104919433585
2002-12-27,,3.4148437976837163
2002-12-28,,3.2984373569488525
2002-12-29,,1.6734062433242798
2002-12-30,,1.683075189590454
2002-12-31,,1.6865025758743286
2003-01-01,,1.7445272207260132
2003-01-02,,1.7522484064102173
2003-01-03,,2.1862967014312744
2003-01-04,,2.237185001373291
2003-01-05,,5.274284839630127
2003-01-06,,4.8984713554382315
2003-01-07,,3.2204058170318604
2003-01-08,,1.6492962837219238
2003-01-09,,3.6817717552185063
2003-01-10,,2.030121088027954
2003-01-11,,2.341820478439331
2003-01-12,,2.160278797149658
2003-01-13,,2.1443979740142822
2003-01-14,,2.6480536460876465
2003-01-15,1.98,2.8163371086120605
2003-01-16,,2.82944655418396
2003-01-17,,2.82944655418396
2003-01-18,,2.7895607948303223
2003-01-19,,4.84404182434082
2003-01-20,,4.7245049476623535
2003-01-21,,4.718943119049072
2003-01-22,,4.690471649169922
2003-01-23,,2.3597252368927
2003-01-24,,2.400887012481689
2003-01-25,,2.4009339809417725
2003-01-26,,2.267439842224121
2003-01-27,,2.331244945526123
2003-01-28,,2.060981273651123
2003-01-29,,2.463231325149536
2003-01-30,,2.8668334484100337
2003-01-31,,2.4590442180633545
2003-02-01,,2.2716963291168213
2003-02-02,,1.7251229286193848
2003-02-03,,2.291510581970215
2003-02-04,,2.454253911972046
2003-02-05,,2.3121726512908936
2003-02-06,,2.019772291183472
2003-02-07,,2.0751583576202397
2003-02-08,,2.809569835662842
2003-02-09,,3.563400983810425
2003-02-10,,3.5641000270843506
2003-02-11,,3.5640993118286133
2003-02-12,,3.6788792610168457
2003-02-13,1.7,4.889140129089356
2003-02-14,,4.7113986015319815
2003-02-15,,4.710898399353027
2003-02-16,,6.211740493774414
2003-02-17,,6.32606840133667
2003-02-18,,4.729225158691406
2003-02-19,,4.919830322265625
2003-02-20,,4.118005275726318
2003-02-21,,2.803236484527588
2003-02-22,,5.312963008880615
2003-02-23,,4.518791675567627
2003-02-24,,3.4834465980529785
2003-02-25,,4.221280097961427
2003-02-26,,4.076569080352783
2003-02-27,2.28,4.390062332153319
2003-02-28,,5.257184982299805
2003-03-01,,3.8609740734100337
2003-03-02,,3.40924334526062
2003-03-03,,4.299025058746338
2003-03-04,,4.299025058746338
2003-03-05,,4.307241916656493
2003-03-06,,4.167999267578125
2003-03-07,,4.210200309753418
2003-03-08,,8.119768142700195
2003-03-09,,6.561060428619385
2003-03-10,,6.4215240478515625
2003-03-11,,4.343506813049316
2003-03-12,4.02,4.960949420928955
2003-03-13,,3.3275461196899414
2003-03-14,,3.843125104904175
2003-03-15,,5.002220153808594
2003-03-16,,5.446566581726074
2003-03-17,,5.449646472930908
2003-03-18,,7.987417697906494
2003-03-19,,7.95310640335083
2003-03-20,,12.071916580200195
2003-03-21,,14.020203590393065
2003-03-22,,11.955422401428224
2003-03-23,,11.183187484741213
2003-03-24,25.2,10.04842472076416
2003-03-25,,10.143470764160156
2003-03-26,,26.309436798095703
2003-03-27,,25.78130340576172
2003-03-28,,26.060731887817386
2003-03-29,,11.635584831237793
2003-03-30,,10.404462814331056
2003-03-31,,26.875843048095703
2003-04-01,,26.30131721496582
2003-04-02,,39.87199783325195
2003-04-03,,18.4511775970459
2003-04-04,,20.144243240356445
2003-04-05,,33.549362182617195
2003-04-06,,36.5655517578125
2003-04-07,,57.99314498901367
2003-04-08,,20.657625198364254
2003-04-09,,7.181666851043701
2003-04-10,,5.131315231323242
2003-04-11,,37.92159652709961
2003-04-12,,19.049854278564453
2003-04-13,,12.914971351623535
2003-04-14,35.4,13.764467239379885
2003-04-15,,31.083209991455078
2003-04-16,,34.956710815429695
2003-04-17,,26.74058532714844
2003-04-18,,53.86912536621094
2003-04-19,,54.26676559448242
2003-04-20,,35.09334945678711
2003-04-21,,35.26356506347656
2003-04-22,,50.10614013671875
2003-04-23,,25.66629219055176
2003-04-24,,23.88671875
2003-04-25,,23.234079360961914
2003-04-26,,32.40973281860352
2003-04-27,,31.96684646606445
2003-04-28,21.4,31.856801986694336
2003-04-29,,25.91507148742676
2003-04-30,,25.91472625732422
2003-05-01,,25.438922882080078
2003-05-02,,11.84740924835205
2003-05-03,,12.130444526672365
2003-05-04,,15.576470375061035
2003-05-05,,15.577452659606935
2003-05-06,,13.899137496948242
2003-05-07,,11.998229026794435
2003-05-08,,15.848189353942873
2003-05-09,,14.024442672729492
2003-05-10,,24.85570907592773
2003-05-11,,24.658069610595703
2003-05-12,,22.183612823486328
2003-05-13,,14.739169120788574
2003-05-14,,5.560542106628418
2003-05-15,9.94,13.846221923828125
2003-05-16,,13.845151901245115
2003-05-17,,11.622369766235352
2003-05-18,,11.453807830810547
2003-05-19,,12.104060173034668
2003-05-20,,12.598198890686035
2003-05-21,,13.320286750793455
2003-05-22,,12.885573387145994
2003-05-23,,11.809894561767578
2003-05-24,,1.423245906829834
2003-05-25,,1.4725546836853027
2003-05-26,,18.779151916503906
2003-05-27,28.4,18.78696823120117
2003-05-28,,11.252896308898926
2003-05-29,,16.074508666992188
2003-05-30,,16.62701416015625
2003-05-31,,13.03957462310791
2003-06-01,,10.195818901062012
2003-06-02,,9.158676147460938
2003-06-03,,7.5645751953125
2003-06-04,,10.638126373291016
2003-06-05,,11.22902011871338
2003-06-06,,12.684126853942873
2003-06-07,,12.656269073486328
2003-06-08,,13.419706344604492
2003-06-09,,13.419719696044922
2003-06-10,,13.419764518737793
2003-06-11,,10.90403938293457
2003-06-12,18.8,12.830352783203125
2003-06-13,,14.926065444946287
2003-06-14,,12.875377655029295
2003-06-15,,12.575502395629885
2003-06-16,,10.795047760009766
2003-06-17,,9.983806610107422
2003-06-18,,10.198602676391602
2003-06-19,,20.962303161621094
2003-06-20,,19.412921905517575
2003-06-21,,29.889589309692386
2003-06-22,,29.95246505737305
2003-06-23,,5.646920680999756
2003-06-24,,7.163076877593994
2003-06-25,7.04,9.610636711120604
2003-06-26,,10.81210994720459
2003-06-27,,16.538362503051758
2003-06-28,,22.349863052368164
2003-06-29,,15.28176498413086
2003-06-30,,15.28176498413086
2003-07-01,,9.850960731506348
2003-07-02,,9.805838584899902
2003-07-03,,14.661808013916016
2003-07-04,,14.772134780883787
2003-07-05,,14.218669891357422
2003-07-06,,13.724557876586914
2003-07-07,,13.808856010437012
2003-07-08,,13.80950164794922
2003-07-09,9.6,12.110547065734865
2003-07-10,,13.394120216369627
2003-07-11,,13.484702110290527
2003-07-12,,23.99199676513672
2003-07-13,,25.35061454772949
2003-07-14,,20.74172019958496
2003-07-15,,14.488161087036133
2003-07-16,,18.238121032714844
2003-07-17,,18.238067626953125
2003-07-18,,14.298397064208984
2003-07-19,,15.74665069580078
2003-07-20,,17.090253829956055
2003-07-21,,10.44875717163086
2003-07-22,,14.844188690185547
2003-07-23,,9.530634880065918
2003-07-24,7.76,9.76423168182373
2003-07-25,,7.133793354034424
2003-07-26,,7.103211402893066
2003-07-27,,7.049267292022705
2003-07-28,,26.894086837768555
2003-07-29,,22.411008834838867
2003-07-30,,8.213589668273926
2003-07-31,,14.100054740905762
2003-08-01,,14.100045204162598
2003-08-02,,17.633745193481445
2003-08-03,,27.563404083251953
2003-08-04,,21.108232498168945
2003-08-05,,21.10765266418457
2003-08-06,,17.36760139465332
2003-08-07,,12.497841835021973
2003-08-08,,10.55876350402832
2003-08-09,,12.017157554626465
2003-08-10,,19.222881317138672
2003-08-11,8.56,16.973705291748047
2003-08-12,,11.435539245605467
2003-08-13,,11.057638168334961
2003-08-14,,6.997458457946777
2003-08-15,,10.193964004516602
2003-08-16,,9.241459846496582
2003-08-17,,7.8756957054138175
2003-08-18,,7.66103982925415
2003-08-19,,8.865997314453125
2003-08-20,,7.115311622619629
2003-08-21,,7.447497844696045
2003-08-22,,6.947429656982423
2003-08-23,,6.841341495513916
2003-08-24,,7.059466361999513
2003-08-25,5.34,4.732386112213135
2003-08-26,,5.014017105102539
2003-08-27,,4.398523330688477
2003-08-28,,3.82028865814209
2003-08-29,,5.745705604553223
2003-08-30,,5.798748016357423
2003-08-31,,6.471832275390625
2003-09-01,,4.335292339324951
2003-09-02,,6.235474109649657
2003-09-03,,6.272714138031006
2003-09-04,,6.522958755493164
2003-09-05,,7.156379222869872
2003-09-06,,7.156349182128906
2003-09-07,,6.16691780090332
2003-09-08,,3.568364143371582
2003-09-09,,6.566175937652588
2003-09-10,,6.842250347137451
2003-09-11,,6.727846622467041
2003-09-12,,7.804462432861327
2003-09-13,,6.83311128616333
2003-09-14,,6.758669376373291
2003-09-15,,6.758685111999513
2003-09-16,,7.383133411407472
2003-09-17,3.78,7.357063293457031
2003-09-18,,7.488635063171388
2003-09-19,,5.6416282653808585
2003-09-20,,5.958909034729004
2003-09-21,,5.811965465545653
2003-09-22,,6.312549114227295
2003-09-23,,4.985122203826903
2003-09-24,,3.7939720153808594
2003-09-25,,6.9730162620544425
2003-09-26,,6.7429633140563965
2003-09-27,,5.491166591644287
2003-09-28,,7.626259803771973
2003-09-29,,7.601974487304687
2003-09-30,4.58,7.6019816398620605
2003-10-01,,4.543196201324463
2003-10-02,,5.271808624267578
2003-10-03,,5.216442584991455
2003-10-04,,5.6348490715026855
2003-10-05,,4.720770835876465
2003-10-06,,7.467590808868407
2003-10-07,,7.758955478668213
2003-10-08,,7.619143009185791
2003-10-09,,4.4063215255737305
2003-10-10,,3.768300771713257
2003-10-11,,2.3808836936950684
2003-10-12,,2.140954732894897
2003-10-13,,4.177454471588135
2003-10-14,,5.961233139038086
2003-10-15,7.16,5.664664268493652
2003-10-16,,7.181944370269775
2003-10-17,,5.964011192321777
2003-10-18,,7.071900367736816
2003-10-19,,6.436880588531494
2003-10-20,,5.848898887634277
2003-10-21,,5.6170010566711435
2003-10-22,,5.634013175964356
2003-10-23,,8.657220840454103
2003-10-24,,7.3747172355651855
2003-10-25,,6.410578727722168
2003-10-26,,5.777472496032715
2003-10-27,8.04,8.256209373474121
2003-10-28,,2.9208688735961914
2003-10-29,,2.9187471866607666
2003-10-30,,2.8410661220550537
2003-10-31,,2.0185518264770512
2003-11-01,,1.266236424446106
2003-11-02,,1.8513195514678955
2003-11-03,,2.775228261947632
2003-11-04,,6.753574848175049
2003-11-05,,6.4724669456481925
2003-11-06,,2.587387800216675
2003-11-07,,7.454005241394043
2003-11-08,,3.0749540328979488
2003-11-09,,5.47016716003418
2003-11-10,,5.439838886260986
2003-11-11,,5.088817119598389
2003-11-12,,5.443798065185547
2003-11-13,5.56,4.857319355010986
2003-11-14,,4.857329845428467
2003-11-15,,4.740467548370361
2003-11-16,,4.549638748168945
2003-11-17,,4.501055240631104
2003-11-18,,4.380127429962158
2003-11-19,,4.160443305969238
2003-11-20,,3.941642284393311
2003-11-21,,3.7042198181152335
2003-11-22,,4.402405261993408
2003-11-23,,4.324971675872804
2003-11-24,,4.280452251434326
2003-11-25,,6.1512818336486825
2003-11-26,,6.626481533050537
2003-11-27,,8.271106719970701
2003-11-28,,10.51122760772705
2003-11-29,,10.51122760772705
2003-11-30,,4.756495952606201
2003-12-01,,4.702802658081055
2003-12-02,,4.284597396850587
2003-12-03,,3.4477863311767583
2003-12-04,,4.6549649238586435
2003-12-05,,4.371750354766847
2003-12-06,,4.3751206398010245
2003-12-07,,5.508382320404053
2003-12-08,,9.551737785339355
2003-12-09,,7.611046314239503
2003-12-10,,4.453214168548584
2003-12-11,4.14,4.453214168548584
2003-12-12,,4.46176815032959
2003-12-13,,1.8193325996398928
2003-12-14,,1.8193037509918213
2003-12-15,,0.6464071869850159
2003-12-16,,0.7842318415641785
2003-12-17,,4.187946319580078
2003-12-18,,4.124022483825684
2003-12-19,,4.124022483825684
2003-12-20,,4.0680761337280265
2003-12-21,,3.6392781734466553
2003-12-22,,3.638678789138794
2003-12-23,,1.9674632549285889
2003-12-24,,2.012204647064209
2003-12-25,,2.1484329700469966
2003-12-26,,2.0529284477233887
2003-12-27,,2.0529937744140625
2003-12-28,,2.0528812408447266
2003-12-29,,4.409647464752197
2003-12-30,,4.386186122894287
2003-12-31,,2.8884196281433105
2004-01-01,,2.641066789627075
2004-01-02,,3.047586679458618
2004-01-03,,3.047193765640259
2004-01-04,,3.0339274406433105
2004-01-05,,3.039208173751831
2004-01-06,,3.098320960998535
2004-01-07,,3.4394648075103764
2004-01-08,,3.2782878875732417
2004-01-09,1.62,3.8403942584991455
2004-01-10,,3.658547163009644
2004-01-11,,2.1518597602844243
2004-01-12,,2.2234907150268555
2004-01-13,,2.1866767406463623
2004-01-14,,2.1273903846740723
2004-01-15,,1.5115357637405396
2004-01-16,,1.6586065292358398
2004-01-17,,1.865522384643555
2004-01-18,,2.0260496139526367
2004-01-19,,2.025876522064209
2004-01-20,,3.441518545150757
2004-01-21,,3.413682222366333
2004-01-22,,3.413841724395752
2004-01-23,,2.191068172454834
2004-01-24,,1.9541989564895632
2004-01-25,,2.588672161102295
2004-01-26,,2.5890142917633057
2004-01-27,,0.8591141104698181
2004-01-28,,1.5889580249786377
2004-01-29,,2.539487361907959
2004-01-30,,2.454787492752075
2004-01-31,,1.6169775724411009
2004-02-01,,1.5296778678894043
2004-02-02,,1.5682696104049685
2004-02-03,,2.11919379234314
2004-02-04,,2.258582592010498
2004-02-05,,2.397108793258667
2004-02-06,,2.4710001945495605
2004-02-07,,2.4567039012908936
2004-02-08,,1.8796541690826416
2004-02-09,,2.9542882442474365
2004-02-10,,2.9454307556152344
2004-02-11,,2.8423705101013184
2004-02-12,,2.8845174312591557
2004-02-13,,1.9875833988189695
2004-02-14,,1.8355162143707275
2004-02-15,,2.4761130809783936
2004-02-16,,2.541137933731079
2004-02-17,,3.0118343830108643
2004-02-18,,3.3637821674346924
2004-02-19,,2.5930135250091557
2004-02-20,,3.2339630126953125
2004-02-21,,3.2253713607788086
2004-02-22,,2.70176100730896
2004-02-23,,4.464036464691162
2004-02-24,,4.482133865356445
2004-02-25,,3.4878237247467037
2004-02-26,,2.2001702785491943
2004-02-27,,2.2234549522399902
2004-02-28,,2.445766925811768
2004-02-29,,1.5655304193496704
2004-03-01,,2.411590099334717
2004-03-02,,4.869745254516602
2004-03-03,5.78,4.409559726715088
2004-03-04,,4.409543037414551
2004-03-05,,4.387241840362549
2004-03-06,,3.2899765968322754
2004-03-07,,3.27810001373291
2004-03-08,,3.0299782752990723
2004-03-09,,3.221538543701172
2004-03-10,,3.14236068725586
2004-03-11,,3.0040524005889893
2004-03-12,,2.5430054664611816
2004-03-13,,1.9855005741119385
2004-03-14,,2.282510757446289
2004-03-15,,2.73848819732666
2004-03-16,,2.538642883300781
2004-03-17,,2.4982614517211914
2004-03-18,11.0,2.446007251739502
2004-03-19,,2.5818910598754883
2004-03-20,,2.790956258773804
2004-03-21,,2.8086748123168945
2004-03-22,,4.1585912704467765
2004-03-23,,3.392186164855957
2004-03-24,,4.051738739013672
2004-03-25,,3.826340913772583
2004-03-26,,4.3422765731811515
2004-03-27,,4.6608548164367685
2004-03-28,,9.763282775878906
2004-03-29,,8.858226776123047
2004-03-30,,10.631529808044434
2004-03-31,,12.035391807556152
2004-04-01,,10.230716705322266
2004-04-02,36.2,10.229117393493652
2004-04-03,,16.943513870239258
2004-04-04,,18.59261703491211
2004-04-05,,18.53646469116211
2004-04-06,,8.658095359802246
2004-04-07,,9.93635082244873
2004-04-08,,7.306708812713622
2004-04-09,,11.778103828430176
2004-04-10,,5.250074863433838
2004-04-11,,6.9256696701049805
2004-04-12,,7.637460708618164
2004-04-13,,4.272386074066162
2004-04-14,,24.707782745361328
2004-04-15,,17.45687484741211
2004-04-16,10.8,8.033039093017576
2004-04-17,,8.056704521179201
2004-04-18,,6.970352649688722
2004-04-19,,26.802228927612305
2004-04-20,,28.5904598236084
2004-04-21,,28.5904598236084
2004-04-22,,40.85577392578125
2004-04-23,,41.1756706237793
2004-04-24,,31.319276809692386
2004-04-25,,18.011962890625
2004-04-26,,16.58304786682129
2004-04-27,,20.19693946838379
2004-04-28,,17.534503936767578
2004-04-29,,15.542343139648438
2004-04-30,,12.086456298828125
2004-05-01,,11.280374526977539
2004-05-02,,9.205057144165039
2004-05-03,,8.28886604309082
2004-05-04,23.2,7.7184553146362305
2004-05-05,,8.233196258544924
2004-05-06,,22.55947685241699
2004-05-07,,21.990238189697266
2004-05-08,,13.344059944152832
2004-05-09,,11.02633571624756
2004-05-10,,10.661629676818848
2004-05-11,,12.755690574645994
2004-05-12,,14.25814723968506
2004-05-13,,13.748980522155762
2004-05-14,12.4,13.151132583618164
2004-05-15,,13.464947700500488
2004-05-16,,17.538606643676758
2004-05-17,,14.160202980041506
2004-05-18,,13.405965805053713
2004-05-19,,9.993480682373047
2004-05-20,,7.035379409790039
2004-05-21,,3.6236627101898193
2004-05-22,,4.392999172210693
2004-05-23,,8.116544723510742
2004-05-24,,14.137057304382324
2004-05-25,,11.98044490814209
2004-05-26,,5.677356719970702
2004-05-27,,7.773746967315674
2004-05-28,,11.507619857788086
2004-05-29,,8.825505256652832
2004-05-30,,8.840606689453125
2004-05-31,,6.837943077087402
2004-06-01,7.56,6.829274654388428
2004-06-02,,6.8462982177734375
2004-06-03,,6.707929611206055
2004-06-04,,8.392642021179201
2004-06-05,,7.878713607788086
2004-06-06,,8.496187210083008
2004-06-07,,13.301589965820312
2004-06-08,,13.635549545288086
2004-06-09,,13.344250679016113
2004-06-10,,9.83592128753662
2004-06-11,19.2,7.8546199798583975
2004-06-12,,4.975122928619385
2004-06-13,,5.352839946746826
2004-06-14,,7.856599807739258
2004-06-15,,13.785656929016113
2004-06-16,,13.386295318603516
2004-06-17,,11.46981716156006
2004-06-18,,11.622220993041992
2004-06-19,,19.712045669555664
2004-06-20,,18.378557205200195
2004-06-21,,17.481758117675778
2004-06-22,,16.97279930114746
2004-06-23,,16.955083847045902
2004-06-24,,15.842000007629395
2004-06-25,,14.289019584655762
2004-06-26,,6.046067237854004
2004-06-27,,6.079727649688722
2004-06-28,,6.221539497375487
2004-06-29,,4.776184558868408
2004-06-30,,7.996208190917969
2004-07-01,7.06,9.074951171875
2004-07-02,,7.065614700317383
2004-07-03,,3.4692695140838623
2004-07-04,,5.333087921142578
2004-07-05,,8.408674240112305
2004-07-06,,9.535097122192383
2004-07-07,,19.60316276550293
2004-07-08,,4.6934003829956055
2004-07-09,,6.908003807067871
2004-07-10,,5.723784446716309
2004-07-11,,5.039189338684082
2004-07-12,,4.633060932159424
2004-07-13,,5.8900322914123535
2004-07-14,,5.78535795211792
2004-07-15,10.0,5.614696025848389
2004-07-16,,4.984415054321289
2004-07-17,,5.102285385131836
2004-07-18,,4.447666645050049
2004-07-19,,3.344429016113281
2004-07-20,,5.461721897125244
2004-07-21,,6.5378007888793945
2004-07-22,,10.77182674407959
2004-07-23,,12.492185592651367
2004-07-24,,6.215396404266357
2004-07-25,,8.634505271911621
2004-07-26,,9.475287437438963
2004-07-27,,9.039084434509276
2004-07-28,,17.563346862792972
2004-07-29,7.72,18.425207138061523
2004-07-30,,10.854297637939453
2004-07-31,,8.052485466003418
2004-08-01,,8.236544609069824
2004-08-02,,10.356100082397461
2004-08-03,,10.248701095581056
2004-08-04,,8.110160827636719
2004-08-05,,8.144482612609862
2004-08-06,,6.365224361419678
2004-08-07,,9.58993911743164
2004-08-08,,10.247881889343262
2004-08-09,,2.053719282150269
2004-08-10,,2.0529325008392334
2004-08-11,,7.365050792694093
2004-08-12,,8.894317626953125
2004-08-13,9.2,5.965853214263916
2004-08-14,,5.550652503967285
2004-08-15,,6.7961602210998535
2004-08-16,,3.668171644210816
2004-08-17,,5.767731666564941
2004-08-18,,7.762705326080322
2004-08-19,,7.471338748931885
2004-08-20,,7.41994047164917
2004-08-21,,8.506500244140625
2004-08-22,,6.897328853607178
2004-08-23,,8.62448787689209
2004-08-24,,8.340298652648926
2004-08-25,,3.445166110992432
2004-08-26,,5.459738254547119
2004-08-27,5.96,5.231235980987549
2004-08-28,,5.286303043365479
2004-08-29,,5.286303520202637
2004-08-30,,1.962166666984558
2004-08-31,,5.091294765472412
2004-09-01,,5.999923706054688
2004-09-02,,5.9826273918151855
2004-09-03,,3.0500495433807373
2004-09-04,,11.981002807617188
2004-09-05,,8.246833801269531
2004-09-06,,4.804811000823975
2004-09-07,,8.81404972076416
2004-09-08,,6.97504186630249
2004-09-09,,6.124170780181885
2004-09-10,4.78,6.9913997650146475
2004-09-11,,6.991311550140381
2004-09-12,,4.65350341796875
2004-09-13,,3.8543763160705566
2004-09-14,,5.359699249267578
2004-09-15,,6.0158305168151855
2004-09-16,,5.376535892486572
2004-09-17,,5.868072986602782
2004-09-18,,5.560082912445068
2004-09-19,,4.390609264373778
2004-09-20,,4.396622657775879
2004-09-21,,2.960181713104248
2004-09-22,,2.730826139450073
2004-09-23,,2.8617889881134038
2004-09-24,,2.9577634334564213
2004-09-25,,3.0296571254730225
2004-09-26,,3.26885986328125
2004-09-27,,5.342323303222656
2004-09-28,3.74,5.373283386230469
2004-09-29,,6.291895389556885
2004-09-30,,6.275252819061278
2004-10-01,,3.849763631820679
2004-10-02,,5.509003639221191
2004-10-03,,5.624744415283203
2004-10-04,,6.341208934783936
2004-10-05,,5.960163593292236
2004-10-06,,5.011824131011963
2004-10-07,,5.847542762756348
2004-10-08,,3.9402866363525386
2004-10-09,,4.4258713722229
2004-10-10,,8.046512603759767
2004-10-11,6.72,10.355738639831543
2004-10-12,,6.20570182800293
2004-10-13,,4.609965801239014
2004-10-14,,3.4348747730255127
2004-10-15,,2.115063428878784
2004-10-16,,2.043205976486206
2004-10-17,,1.81446635723114
2004-10-18,,2.524749279022217
2004-10-19,,6.4891109466552725
2004-10-20,,1.4543662071228027
2004-10-21,,1.3137555122375488
2004-10-22,,5.292675018310547
2004-10-23,,5.3071136474609375
2004-10-24,,4.730967044830322
2004-10-25,,2.5615782737731934
2004-10-26,,2.865079641342163
2004-10-27,3.02,2.8803486824035645
2004-10-28,,3.841332912445069
2004-10-29,,3.939386606216431
2004-10-30,,4.064046382904054
2004-10-31,,4.088730812072754
2004-11-01,,3.7773783206939697
2004-11-02,,4.1024208068847665
2004-11-03,,2.866319417953491
2004-11-04,,2.487667322158813
2004-11-05,,3.1304438114166264
2004-11-06,,1.8064244985580444
2004-11-07,,2.729255199432373
2004-11-08,,2.8524706363677983
2004-11-09,,3.7462337017059326
2004-11-10,3.84,4.042226314544679
2004-11-11,,5.063249588012695
2004-11-12,,5.603825569152832
2004-11-13,,5.445945739746094
2004-11-14,,2.1509509086608887
2004-11-15,,2.1515979766845703
2004-11-16,,2.30806040763855
2004-11-17,,6.2256717681884775
2004-11-18,,6.2460083961486825
2004-11-19,,6.252430438995361
2004-11-20,,1.5538358688354492
2004-11-21,,3.4574463367462163
2004-11-22,,4.19212007522583
2004-11-23,,10.314309120178224
2004-11-24,,8.926258087158203
2004-11-25,,6.9200072288513175
2004-11-26,,6.9199700355529785
2004-11-27,,6.660402774810791
2004-11-28,,3.636264085769653
2004-11-29,,3.4051330089569087
2004-11-30,,2.2038865089416504
2004-12-01,,2.2341115474700928
2004-12-02,,6.083596706390381
2004-12-03,,4.655076503753662
2004-12-04,,4.00150728225708
2004-12-05,,2.1952993869781494
2004-12-06,,2.173559665679932
2004-12-07,,1.6172239780426023
2004-12-08,2.16,1.3643590211868286
2004-12-09,,1.5577840805053709
2004-12-10,,1.5297110080718994
2004-12-11,,1.368526816368103
2004-12-12,,1.5204321146011353
2004-12-13,,1.449644684791565
2004-12-14,,1.4480775594711304
2004-12-15,,1.4382697343826294
2004-12-16,,1.9456733465194704
2004-12-17,,2.0321710109710693
2004-12-18,,1.977506756782532
2004-12-19,,2.5824785232543945
2004-12-20,,2.7659130096435547
2004-12-21,,1.6635469198226929
2004-12-22,,0.9682927131652832
2004-12-23,,1.3592923879623413
2004-12-24,,1.5283379554748535
2004-12-25,,0.8653800487518309
2004-12-26,,3.55085825920105
2004-12-27,,3.4928374290466313
2004-12-28,,3.496638059616089
2004-12-29,,3.4873740673065186
2004-12-30,,2.4311516284942627
2004-12-31,,2.1663050651550293
2005-01-01,,1.8402061462402344
2005-01-02,,1.7318545579910278
2005-01-03,,0.9003657698631287
2005-01-04,,0.887978732585907
2005-01-05,,1.0293183326721191
2005-01-06,,4.548919677734375
2005-01-07,,4.561776161193848
2005-01-08,,4.721314907073975
2005-01-09,,4.720686912536621
2005-01-10,1.34,3.3012397289276123
2005-01-11,,2.443842887878418
2005-01-12,,2.773503065109253
2005-01-13,,1.9447394609451292
2005-01-14,,2.469937562942505
2005-01-15,,2.0404741764068604
2005-01-16,,1.7133122682571411
2005-01-17,,1.6692603826522827
2005-01-18,,3.1648733615875244
2005-01-19,,1.5728298425674438
2005-01-20,,1.912670373916626
2005-01-21,,2.028838872909546
2005-01-22,,4.26234769821167
2005-01-23,,4.1884636878967285
2005-01-24,,4.183898448944092
2005-01-25,,4.539492130279541
2005-01-26,,4.429126739501953
2005-01-27,,4.427271366119385
2005-01-28,,4.3407816886901855
2005-01-29,,3.416386365890503
2005-01-30,,1.9664705991744995
2005-01-31,,1.6777793169021606
2005-02-01,,1.3884717226028442
2005-02-02,,1.3332332372665403
2005-02-03,,1.7859184741973877
2005-02-04,,4.670684814453125
2005-02-05,,5.411433219909668
2005-02-06,,5.222874641418457
2005-02-07,,4.9228715896606445
2005-02-08,,3.361048936843872
2005-02-09,2.92,3.3611860275268555
2005-02-10,,3.5178954601287837
2005-02-11,,3.490492105484009
2005-02-12,,3.0678412914276123
2005-02-13,,3.516655683517456
2005-02-14,,3.4833364486694336
2005-02-15,,3.406468152999878
2005-02-16,,3.375272274017334
2005-02-17,,3.245407819747925
2005-02-18,,3.2006165981292725
2005-02-19,,3.1996045112609863
2005-02-20,,2.773478984832764
2005-02-21,,2.892174243927002
2005-02-22,,4.371767520904541
2005-02-23,,4.364010810852052
2005-02-24,,4.8710479736328125
2005-02-25,,4.825734615325928
2005-02-26,,4.68917989730835
2005-02-27,,3.233397960662842
2005-02-28,,3.6315042972564697
2005-03-01,,2.361166000366211
2005-03-02,,1.111216425895691
2005-03-03,,1.0315653085708618
2005-03-04,,1.0317020416259766
2005-03-05,,1.136491775512695
2005-03-06,,1.1616263389587402
2005-03-07,,2.610553741455078
2005-03-08,,2.9851183891296387
2005-03-09,,3.508558511734009
2005-03-10,6.22,2.355191946029663
2005-03-11,,2.325283527374268
2005-03-12,,3.691840648651123
2005-03-13,,4.156299114227295
2005-03-14,,5.0506978034973145
2005-03-15,,5.427505493164063
2005-03-16,,5.640602111816406
2005-03-17,,3.9892776012420654
